utterance_id,status,old_alignment_confidence,old_quality_tier,old_split,old_alignment_status,old_start_time,old_end_time,old_utterance_text,old_reason,new_alignment_confidence,new_quality_tier,new_split,new_alignment_status,new_start_time,new_end_time,new_utterance_text,new_reason
hear_2ef83c852251d65c_utt00173,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,00:39:19.590,00:39:33.430,"I can work on either and arrive at a conclusive opinion, except if the photocopied document has deteriorated and the quality is so poor that it could give me some difficulties.","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00174,only_new,,,,,,,,,HIGH,B,train,matched,00:39:42.390,00:39:52.490,So your criterion for working on a photocopy is just to make sure that you can read the photocopy; is that correct?,"usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00176,only_new,,,,,,,,,HIGH,B,train,matched,00:40:00.160,00:40:19.140,"Therefore, if the document was stained as a result of the photocopying process, but if, nevertheless, it can be read, you would find it as a document to be used for a proper analysis; is that correct?","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00177,only_new,,,,,,,,,HIGH,B,train,matched,00:40:21.010,00:40:25.930,I'm not getting your question clearly. Can you please rephrase your question.,"usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00178,same,HIGH,B,train,matched,00:40:30.370,00:40:55.150,"When we talk of -- when we start from an original and you make a photocopy of the original, when you are photocopying from the original, in order to produce a photocopy, some letters may not be properly photocopied; there may be parts of the documents that are not properly photocopied. Do you understand so far what I have said?","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",HIGH,B,train,matched,00:40:30.410,00:40:55.310,"When we talk of -- when we start from an original and you make a photocopy of the original, when you are photocopying from the original, in order to produce a photocopy, some letters may not be properly photocopied; there may be parts of the documents that are not properly photocopied. Do you understand so far what I have said?","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00179,only_old,MEDIUM,B,train,fuzzy,00:40:57.180,00:41:14.620,"Yes, this is what I talked of, the quality of the photocopied document. I said if it is such a bad quality, it could be difficult to analyse. But in any case, if it's a good quality photocopied document, I really have no problem with that.","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00180,only_old,HIGH,B,train,matched,00:41:19.570,00:41:36.920,"What I want to understand is the following: For you to be able to verify the quality of the photocopy, it is necessary for you to be able to compare the photocopy to the original; is that correct?","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00181,same,HIGH,B,train,matched,00:41:36.760,00:41:38.120,Not necessarily.,"usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",MEDIUM,B,train,fuzzy,00:43:06.330,00:43:07.430,Not necessarily.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00182,only_old,MEDIUM,B,train,matched,00:41:44.470,00:42:14.470,"Therefore, how are you able to come to a conclusion that the photocopy is of good quality if you have no basis for a comparison?","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00189,only_old,MEDIUM,B,train,fuzzy,00:45:11.930,00:45:15.690,That's outside the scope of my work. My work was to analyse the handwriting of the photocopies.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00303,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:35:24.480,01:35:25.580,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00311,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:37:00.510,01:37:02.330,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00315,only_old,MEDIUM,B,train,fuzzy,01:36:53.850,01:36:54.990,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00320,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:39:34.440,01:39:35.620,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00330,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:44:37.410,01:44:38.590,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00331,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:44:41.970,01:44:45.490,Is the character on the right also taken from authenticated document collection number 1?,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00332,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:44:45.210,01:44:46.450,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00342,same,MEDIUM,B,train,fuzzy,01:47:05.910,01:47:11.130,"Could you please turn to photo image number 4, and, again, is the image on the left taken from test selection B?","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",MEDIUM,B,train,fuzzy,01:48:05.160,01:48:20.490,"Could you please turn to photo image number 4, and, again, is the image on the left taken from test selection B?","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00343,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:48:21.230,01:48:22.530,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00344,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:48:22.970,01:48:28.430,And the image on the right is taken from authenticated document collection 1?,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00345,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:48:28.330,01:48:29.670,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00346,only_new,,,,,,,,,HIGH,B,train,matched,01:48:30.080,01:48:33.400,How do these characters compare?,"usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00350,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:50:46.990,01:50:49.430,"Could you turn, please, to photo image 5?","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00351,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:50:48.530,01:51:18.530,"If you look at the photo image number 4, Superintendent, can you tell us whether or not the image in the top portion of that is from test collection A?","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00368,only_old,MEDIUM,B,train,fuzzy,01:54:56.130,01:54:57.270,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00369,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,01:55:45.690,01:55:56.650,And is the image on the from test collection A?,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00376,only_old,MEDIUM,B,train,fuzzy,01:57:15.840,01:57:16.940,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00381,only_old,MEDIUM,B,train,fuzzy,01:59:25.870,01:59:31.710,Is the image on the bottom from authenticated document collection number 2?,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00382,only_old,MEDIUM,B,train,fuzzy,01:59:31.270,01:59:32.550,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00436,only_old,MEDIUM,B,train,fuzzy,02:16:33.370,02:16:36.150,Can you put that up on the screen?,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00464,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,02:29:24.820,02:29:27.580,"Yes, this is the document.","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00495,only_old,MEDIUM,B,train,fuzzy,02:40:22.030,02:40:25.550,"Yes, I did.","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00548,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,02:57:32.540,02:57:34.880,That is correct.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00609,only_old,MEDIUM,B,train,fuzzy,03:16:19.640,03:16:29.300,"And underneath, the two words that are there, are they complete?","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00666,only_old,MEDIUM,B,train,fuzzy,03:42:34.760,03:42:37.900,"I think ""q"" is on the 14th line.","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00684,only_old,MEDIUM,B,train,fuzzy,03:53:52.160,03:53:53.320,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00694,only_old,MEDIUM,B,train,fuzzy,03:55:00.170,03:55:01.450,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00696,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,03:56:08.770,03:56:09.870,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00706,only_old,MEDIUM,B,train,fuzzy,03:57:43.330,03:57:44.630,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00712,only_old,MEDIUM,B,train,fuzzy,04:00:18.310,04:00:33.680,I don't remember off hand the number of pages I used.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
