utterance_id,question_type
icty_karadzic_nan_nan_1_utt00069,open
icty_karadzic_nan_nan_1_utt00070,open
icty_karadzic_nan_nan_1_utt00071,open
icty_karadzic_nan_nan_1_utt00072,open
icty_karadzic_nan_nan_1_utt00073,open
icty_karadzic_nan_nan_1_utt00074,open
icty_karadzic_nan_nan_1_utt00075,open
icty_karadzic_nan_nan_1_utt00076,open
icty_karadzic_nan_nan_1_utt00077,open
icty_karadzic_nan_nan_1_utt00078,open
icty_karadzic_nan_nan_1_utt00079,open
icty_karadzic_nan_nan_1_utt00080,open
icty_karadzic_nan_nan_1_utt00081,open
icty_karadzic_nan_nan_1_utt00082,open
icty_karadzic_nan_nan_1_utt00083,open
icty_karadzic_nan_nan_1_utt00084,open
icty_karadzic_nan_nan_1_utt00085,open
icty_karadzic_nan_nan_1_utt00086,open
icty_karadzic_nan_nan_1_utt00087,open
icty_karadzic_nan_nan_1_utt00088,open
icty_karadzic_nan_nan_1_utt00089,open
icty_karadzic_nan_nan_1_utt00090,open
icty_karadzic_nan_nan_1_utt00091,open
icty_karadzic_nan_nan_1_utt00092,open
icty_karadzic_nan_nan_1_utt00093,open
icty_karadzic_nan_nan_1_utt00094,open
icty_karadzic_nan_nan_1_utt00095,open
icty_karadzic_nan_nan_1_utt00096,open
icty_karadzic_nan_nan_1_utt00097,open
icty_karadzic_nan_nan_1_utt00098,open
icty_karadzic_nan_nan_1_utt00099,open
icty_karadzic_nan_nan_1_utt00100,open
icty_karadzic_nan_nan_1_utt00101,open
icty_karadzic_nan_nan_1_utt00102,open
icty_karadzic_nan_nan_1_utt00103,open
icty_karadzic_nan_nan_1_utt00104,open
icty_karadzic_nan_nan_1_utt00105,open
icty_karadzic_nan_nan_1_utt00106,open
icty_karadzic_nan_nan_1_utt00107,open
icty_karadzic_nan_nan_1_utt00108,open
icty_karadzic_nan_nan_1_utt00109,open
icty_karadzic_nan_nan_1_utt00110,open
icty_karadzic_nan_nan_1_utt00111,open
icty_karadzic_nan_nan_1_utt00112,open
icty_karadzic_nan_nan_1_utt00113,open
icty_karadzic_nan_nan_1_utt00114,open
icty_karadzic_nan_nan_1_utt00115,open
icty_karadzic_nan_nan_1_utt00116,open
icty_karadzic_nan_nan_1_utt00117,open
icty_karadzic_nan_nan_1_utt00118,open
icty_karadzic_nan_nan_1_utt00119,open
icty_karadzic_nan_nan_1_utt00120,open
icty_karadzic_nan_nan_1_utt00121,open
icty_karadzic_nan_nan_1_utt00122,open
icty_karadzic_nan_nan_1_utt00123,open
icty_karadzic_nan_nan_1_utt00124,open
icty_karadzic_nan_nan_1_utt00125,open
icty_karadzic_nan_nan_1_utt00126,open
icty_karadzic_nan_nan_1_utt00127,open
icty_karadzic_nan_nan_1_utt00128,open
icty_karadzic_nan_nan_1_utt00129,open
icty_karadzic_nan_nan_1_utt00130,open
icty_karadzic_nan_nan_1_utt00131,open
icty_karadzic_nan_nan_1_utt00132,open
icty_karadzic_nan_nan_1_utt00133,open
icty_karadzic_nan_nan_1_utt00134,open
icty_karadzic_nan_nan_1_utt00135,open
icty_karadzic_nan_nan_1_utt00136,open
icty_karadzic_nan_nan_1_utt00137,open
icty_karadzic_nan_nan_1_utt00138,open
icty_karadzic_nan_nan_1_utt00139,open
icty_karadzic_nan_nan_1_utt00140,open
icty_karadzic_nan_nan_1_utt00141,open
icty_karadzic_nan_nan_1_utt00142,open
icty_karadzic_nan_nan_1_utt00143,open
icty_karadzic_nan_nan_1_utt00144,open
icty_karadzic_nan_nan_1_utt00145,open
icty_karadzic_nan_nan_1_utt00146,open
icty_karadzic_nan_nan_1_utt00147,open
icty_karadzic_nan_nan_1_utt00148,open
icty_karadzic_nan_nan_1_utt00149,open
icty_karadzic_nan_nan_1_utt00150,open
icty_karadzic_nan_nan_1_utt00151,open
icty_karadzic_nan_nan_1_utt00152,open
icty_karadzic_nan_nan_1_utt00153,open
icty_karadzic_nan_nan_1_utt00154,open
icty_karadzic_nan_nan_1_utt00155,open
icty_karadzic_nan_nan_1_utt00156,open
icty_karadzic_nan_nan_1_utt00157,open
icty_karadzic_nan_nan_1_utt00158,open
icty_karadzic_nan_nan_1_utt00159,open
icty_karadzic_nan_nan_1_utt00160,open
icty_karadzic_nan_nan_1_utt00161,open
icty_karadzic_nan_nan_1_utt00162,open
icty_karadzic_nan_nan_1_utt00163,open
icty_karadzic_nan_nan_1_utt00164,open
icty_karadzic_nan_nan_1_utt00165,open
icty_karadzic_nan_nan_1_utt00166,open
icty_karadzic_nan_nan_1_utt00167,open
icty_karadzic_nan_nan_1_utt00168,open
icty_karadzic_nan_nan_1_utt00169,open
icty_karadzic_nan_nan_1_utt00170,open
icty_karadzic_nan_nan_1_utt00171,open
icty_karadzic_nan_nan_1_utt00172,open
icty_karadzic_nan_nan_1_utt00173,open
icty_karadzic_nan_nan_1_utt00174,open
icty_karadzic_nan_nan_1_utt00175,open
icty_karadzic_nan_nan_1_utt00176,open
icty_karadzic_nan_nan_1_utt00177,open
icty_karadzic_nan_nan_1_utt00178,open
icty_karadzic_nan_nan_1_utt00179,open
icty_karadzic_nan_nan_1_utt00180,open
icty_karadzic_nan_nan_1_utt00181,open
icty_karadzic_nan_nan_1_utt00182,open
icty_karadzic_nan_nan_1_utt00183,open
icty_karadzic_nan_nan_1_utt00184,open
icty_karadzic_nan_nan_1_utt00185,open
icty_karadzic_nan_nan_1_utt00186,open
icty_karadzic_nan_nan_1_utt00187,open
icty_karadzic_nan_nan_1_utt00188,open
icty_karadzic_nan_nan_1_utt00189,open
icty_karadzic_nan_nan_1_utt00190,open
icty_karadzic_nan_nan_1_utt00191,open
icty_karadzic_nan_nan_1_utt00192,open
icty_karadzic_nan_nan_1_utt00193,open
icty_karadzic_nan_nan_1_utt00194,open
icty_karadzic_nan_nan_1_utt00195,open
icty_karadzic_nan_nan_1_utt00196,open
icty_karadzic_nan_nan_1_utt00197,open
icty_karadzic_nan_nan_1_utt00198,open
icty_karadzic_nan_nan_1_utt00199,open
icty_karadzic_nan_nan_1_utt00200,open
icty_karadzic_nan_nan_1_utt00201,open
icty_karadzic_nan_nan_1_utt00202,open
icty_karadzic_nan_nan_1_utt00203,open
icty_karadzic_nan_nan_1_utt00204,open
icty_karadzic_nan_nan_1_utt00205,open
icty_karadzic_nan_nan_1_utt00206,open
icty_karadzic_nan_nan_1_utt00207,open
icty_karadzic_nan_nan_1_utt00208,open
icty_karadzic_nan_nan_1_utt00209,open
icty_karadzic_nan_nan_1_utt00210,open
icty_karadzic_nan_nan_1_utt00211,open
icty_karadzic_nan_nan_1_utt00212,open
icty_karadzic_nan_nan_1_utt00213,open
icty_karadzic_nan_nan_1_utt00214,open
icty_karadzic_nan_nan_1_utt00215,open
icty_karadzic_nan_nan_1_utt00216,open
icty_karadzic_nan_nan_1_utt00217,open
icty_karadzic_nan_nan_1_utt00218,open
icty_karadzic_nan_nan_1_utt00219,open
icty_karadzic_nan_nan_1_utt00220,open
icty_karadzic_nan_nan_1_utt00221,open
icty_karadzic_nan_nan_1_utt00222,open
icty_karadzic_nan_nan_1_utt00223,open
icty_karadzic_nan_nan_1_utt00224,open
icty_karadzic_nan_nan_1_utt00225,open
icty_karadzic_nan_nan_1_utt00226,open
icty_karadzic_nan_nan_1_utt00227,open
icty_karadzic_nan_nan_1_utt00228,open
icty_karadzic_nan_nan_1_utt00229,open
icty_karadzic_nan_nan_1_utt00230,open
icty_karadzic_nan_nan_1_utt00231,open
icty_karadzic_nan_nan_1_utt00232,open
icty_karadzic_nan_nan_1_utt00233,open
icty_karadzic_nan_nan_1_utt00234,open
icty_karadzic_nan_nan_1_utt00235,open
icty_karadzic_nan_nan_1_utt00236,open
icty_karadzic_nan_nan_1_utt00237,open
icty_karadzic_nan_nan_1_utt00238,open
icty_karadzic_nan_nan_1_utt00239,open
icty_karadzic_nan_nan_1_utt00240,open
icty_karadzic_nan_nan_1_utt00241,open
icty_karadzic_nan_nan_1_utt00242,open
icty_karadzic_nan_nan_1_utt00243,open
icty_karadzic_nan_nan_1_utt00244,open
icty_karadzic_nan_nan_1_utt00245,open
icty_karadzic_nan_nan_1_utt00246,open
icty_karadzic_nan_nan_1_utt00247,open
icty_karadzic_nan_nan_1_utt00248,open
icty_karadzic_nan_nan_1_utt00249,open
icty_karadzic_nan_nan_1_utt00250,open
icty_karadzic_nan_nan_1_utt00251,open
icty_karadzic_nan_nan_1_utt00252,open
icty_karadzic_nan_nan_1_utt00253,open
icty_karadzic_nan_nan_1_utt00254,open
icty_karadzic_nan_nan_1_utt00255,open
icty_karadzic_nan_nan_1_utt00256,open
icty_karadzic_nan_nan_1_utt00257,open
icty_karadzic_nan_nan_1_utt00258,open
icty_karadzic_nan_nan_1_utt00259,open
icty_karadzic_nan_nan_1_utt00260,open
icty_karadzic_nan_nan_1_utt00261,open
icty_karadzic_nan_nan_1_utt00262,open
icty_karadzic_nan_nan_1_utt00263,open
icty_karadzic_nan_nan_1_utt00264,open
icty_karadzic_nan_nan_1_utt00265,open
icty_karadzic_nan_nan_1_utt00266,open
icty_karadzic_nan_nan_1_utt00267,open
icty_karadzic_nan_nan_1_utt00268,open
icty_karadzic_nan_nan_1_utt00269,open
icty_karadzic_nan_nan_1_utt00270,open
icty_karadzic_nan_nan_1_utt00271,open
icty_karadzic_nan_nan_1_utt00272,open
icty_karadzic_nan_nan_1_utt00273,open
icty_karadzic_nan_nan_1_utt00274,open
icty_karadzic_nan_nan_1_utt00275,open
icty_karadzic_nan_nan_1_utt00276,open
icty_karadzic_nan_nan_1_utt00277,open
icty_karadzic_nan_nan_1_utt00278,open
icty_karadzic_nan_nan_1_utt00279,open
icty_karadzic_nan_nan_1_utt00280,open
icty_karadzic_nan_nan_1_utt00281,open
icty_karadzic_nan_nan_1_utt00282,open
icty_karadzic_nan_nan_1_utt00283,open
icty_karadzic_nan_nan_1_utt00284,open
icty_karadzic_nan_nan_1_utt00285,open
icty_karadzic_nan_nan_1_utt00286,open
icty_karadzic_nan_nan_1_utt00287,open
icty_karadzic_nan_nan_1_utt00288,open
icty_karadzic_nan_nan_1_utt00289,open
icty_karadzic_nan_nan_1_utt00290,open
icty_karadzic_nan_nan_1_utt00291,open
icty_karadzic_nan_nan_1_utt00292,open
icty_karadzic_nan_nan_1_utt00293,open
icty_karadzic_nan_nan_1_utt00294,open
icty_karadzic_nan_nan_1_utt00295,open
icty_karadzic_nan_nan_1_utt00296,open
icty_karadzic_nan_nan_1_utt00297,open
icty_karadzic_nan_nan_1_utt00298,open
icty_karadzic_nan_nan_1_utt00299,open
icty_karadzic_nan_nan_1_utt00300,open
icty_karadzic_nan_nan_1_utt00301,open
icty_karadzic_nan_nan_1_utt00302,open
icty_karadzic_nan_nan_1_utt00303,open
icty_karadzic_nan_nan_1_utt00304,open
icty_karadzic_nan_nan_1_utt00305,open
icty_karadzic_nan_nan_1_utt00306,open
icty_karadzic_nan_nan_1_utt00307,open
icty_karadzic_nan_nan_1_utt00308,open
icty_karadzic_nan_nan_1_utt00309,open
icty_karadzic_nan_nan_1_utt00310,open
icty_karadzic_nan_nan_1_utt00311,open
icty_karadzic_nan_nan_1_utt00312,open
icty_karadzic_nan_nan_1_utt00313,open
icty_karadzic_nan_nan_1_utt00314,open
icty_karadzic_nan_nan_1_utt00315,open
icty_karadzic_nan_nan_1_utt00316,open
icty_karadzic_nan_nan_1_utt00317,open
icty_karadzic_nan_nan_1_utt00318,open
icty_karadzic_nan_nan_1_utt00319,open
icty_karadzic_nan_nan_1_utt00320,open
icty_karadzic_nan_nan_1_utt00321,open
icty_karadzic_nan_nan_1_utt00322,open
icty_karadzic_nan_nan_1_utt00323,open
icty_karadzic_nan_nan_1_utt00324,open
icty_karadzic_nan_nan_1_utt00325,open
icty_karadzic_nan_nan_1_utt00326,open
icty_karadzic_nan_nan_1_utt00327,open
icty_karadzic_nan_nan_1_utt00328,open
icty_karadzic_nan_nan_1_utt00329,open
icty_karadzic_nan_nan_1_utt00330,open
icty_karadzic_nan_nan_1_utt00331,open
icty_karadzic_nan_nan_1_utt00332,open
icty_karadzic_nan_nan_1_utt00333,open
icty_karadzic_nan_nan_1_utt00334,open
icty_karadzic_nan_nan_1_utt00335,open
icty_karadzic_nan_nan_1_utt00336,open
icty_karadzic_nan_nan_1_utt00337,open
icty_karadzic_nan_nan_1_utt00338,open
icty_karadzic_nan_nan_1_utt00339,open
icty_karadzic_nan_nan_1_utt00340,open
icty_karadzic_nan_nan_1_utt00341,open
icty_karadzic_nan_nan_1_utt00342,open
icty_karadzic_nan_nan_1_utt00343,open
icty_karadzic_nan_nan_1_utt00344,open
icty_karadzic_nan_nan_1_utt00345,open
icty_karadzic_nan_nan_1_utt00346,open
icty_karadzic_nan_nan_1_utt00347,open
icty_karadzic_nan_nan_1_utt00348,open
icty_karadzic_nan_nan_1_utt00349,open
icty_karadzic_nan_nan_1_utt00350,open
icty_karadzic_nan_nan_1_utt00351,open
icty_karadzic_nan_nan_1_utt00352,open
icty_karadzic_nan_nan_1_utt00353,open
icty_karadzic_nan_nan_1_utt00354,open
icty_karadzic_nan_nan_1_utt00355,open
icty_karadzic_nan_nan_1_utt00356,open
icty_karadzic_nan_nan_1_utt00357,open
icty_karadzic_nan_nan_1_utt00358,open
icty_karadzic_nan_nan_1_utt00359,open
icty_karadzic_nan_nan_1_utt00360,open
icty_karadzic_nan_nan_1_utt00361,open
icty_karadzic_nan_nan_1_utt00362,open
icty_karadzic_nan_nan_1_utt00363,open
icty_karadzic_nan_nan_1_utt00364,open
icty_karadzic_nan_nan_1_utt00365,open
icty_karadzic_nan_nan_1_utt00366,open
icty_karadzic_nan_nan_1_utt00367,open
icty_karadzic_nan_nan_1_utt00368,open
icty_karadzic_nan_nan_1_utt00369,open
icty_karadzic_nan_nan_1_utt00370,open
icty_karadzic_nan_nan_1_utt00371,open
icty_karadzic_nan_nan_1_utt00372,open
icty_karadzic_nan_nan_1_utt00373,open
icty_karadzic_nan_nan_1_utt00374,open
icty_karadzic_nan_nan_1_utt00375,open
icty_karadzic_nan_nan_1_utt00376,open
icty_karadzic_nan_nan_1_utt00377,open
icty_karadzic_nan_nan_1_utt00378,open
icty_karadzic_nan_nan_1_utt00379,open
icty_karadzic_nan_nan_1_utt00380,open
icty_karadzic_nan_nan_1_utt00381,open
icty_karadzic_nan_nan_1_utt00382,open
icty_karadzic_nan_nan_1_utt00383,open
icty_karadzic_nan_nan_1_utt00384,open
icty_karadzic_nan_nan_1_utt00385,open
icty_karadzic_nan_nan_1_utt00386,open
icty_karadzic_nan_nan_1_utt00387,open
icty_karadzic_nan_nan_1_utt00388,open
icty_karadzic_nan_nan_1_utt00389,open
icty_karadzic_nan_nan_1_utt00390,open
icty_karadzic_nan_nan_1_utt00391,open
icty_karadzic_nan_nan_1_utt00392,open
icty_karadzic_nan_nan_1_utt00393,open
icty_karadzic_nan_nan_1_utt00394,open
icty_karadzic_nan_nan_1_utt00395,open
icty_karadzic_nan_nan_1_utt00396,open
icty_karadzic_nan_nan_1_utt00397,open
icty_karadzic_nan_nan_1_utt00398,open
icty_karadzic_nan_nan_1_utt00399,open
icty_karadzic_nan_nan_1_utt00400,open
icty_karadzic_nan_nan_1_utt00401,open
icty_karadzic_nan_nan_1_utt00402,open
icty_karadzic_nan_nan_1_utt00403,open
icty_karadzic_nan_nan_1_utt00404,open
icty_karadzic_nan_nan_1_utt00405,open
icty_karadzic_nan_nan_1_utt00406,open
icty_karadzic_nan_nan_1_utt00407,open
icty_karadzic_nan_nan_1_utt00408,open
icty_karadzic_nan_nan_1_utt00409,open
icty_karadzic_nan_nan_1_utt00410,open
icty_karadzic_nan_nan_1_utt00411,open
icty_karadzic_nan_nan_1_utt00412,open
icty_karadzic_nan_nan_1_utt00413,open
icty_karadzic_nan_nan_1_utt00414,open
icty_karadzic_nan_nan_1_utt00415,open
icty_karadzic_nan_nan_1_utt00416,open
icty_karadzic_nan_nan_1_utt00417,open
icty_karadzic_nan_nan_1_utt00418,open
icty_karadzic_nan_nan_1_utt00419,open
icty_karadzic_nan_nan_1_utt00420,open
icty_karadzic_nan_nan_1_utt00421,open
icty_karadzic_nan_nan_1_utt00422,open
icty_karadzic_nan_nan_1_utt00423,open
icty_karadzic_nan_nan_1_utt00424,open
icty_karadzic_nan_nan_1_utt00425,open
icty_karadzic_nan_nan_1_utt00426,open
icty_karadzic_nan_nan_1_utt00427,open
icty_karadzic_nan_nan_1_utt00428,open
icty_karadzic_nan_nan_1_utt00429,open
icty_karadzic_nan_nan_1_utt00430,open
icty_karadzic_nan_nan_1_utt00431,open
icty_karadzic_nan_nan_1_utt00432,open
icty_karadzic_nan_nan_1_utt00433,open
icty_karadzic_nan_nan_1_utt00434,open
icty_karadzic_nan_nan_1_utt00435,open
icty_karadzic_nan_nan_1_utt00436,open
icty_karadzic_nan_nan_1_utt00437,open
icty_karadzic_nan_nan_1_utt00438,open
icty_karadzic_nan_nan_1_utt00439,open
icty_karadzic_nan_nan_1_utt00440,open
icty_karadzic_nan_nan_1_utt00441,open
icty_karadzic_nan_nan_1_utt00442,open
icty_karadzic_nan_nan_1_utt00443,open
icty_karadzic_nan_nan_1_utt00444,open
icty_karadzic_nan_nan_1_utt00445,open
icty_karadzic_nan_nan_1_utt00446,open
icty_karadzic_nan_nan_1_utt00447,open
icty_karadzic_nan_nan_1_utt00448,open
icty_karadzic_nan_nan_1_utt00449,open
icty_karadzic_nan_nan_1_utt00450,open
icty_karadzic_nan_nan_1_utt00451,open
icty_karadzic_nan_nan_1_utt00452,open
icty_karadzic_nan_nan_1_utt00453,open
icty_karadzic_nan_nan_1_utt00454,open
icty_karadzic_nan_nan_1_utt00455,open
icty_karadzic_nan_nan_1_utt00456,open
icty_karadzic_nan_nan_1_utt00457,open
icty_karadzic_nan_nan_1_utt00458,open
icty_karadzic_nan_nan_1_utt00459,open
icty_karadzic_nan_nan_1_utt00460,open
icty_karadzic_nan_nan_1_utt00461,open
icty_karadzic_nan_nan_1_utt00462,open
icty_karadzic_nan_nan_1_utt00463,open
icty_karadzic_nan_nan_1_utt00464,open
icty_karadzic_nan_nan_1_utt00465,open
icty_karadzic_nan_nan_1_utt00466,open
icty_karadzic_nan_nan_1_utt00467,open
icty_karadzic_nan_nan_1_utt00468,open
icty_karadzic_nan_nan_1_utt00469,open
icty_karadzic_nan_nan_1_utt00470,open
icty_karadzic_nan_nan_1_utt00471,open
icty_karadzic_nan_nan_1_utt00472,open
icty_karadzic_nan_nan_1_utt00473,open
icty_karadzic_nan_nan_1_utt00474,open
icty_karadzic_nan_nan_1_utt00475,open
icty_karadzic_nan_nan_1_utt00476,open
icty_karadzic_nan_nan_1_utt00477,open
icty_karadzic_nan_nan_1_utt00478,open
icty_karadzic_nan_nan_1_utt00479,open
icty_karadzic_nan_nan_1_utt00480,open
icty_karadzic_nan_nan_1_utt00481,open
icty_karadzic_nan_nan_1_utt00482,open
icty_karadzic_nan_nan_1_utt00483,open
icty_karadzic_nan_nan_1_utt00484,open
icty_karadzic_nan_nan_1_utt00485,open
icty_karadzic_nan_nan_1_utt00486,open
icty_karadzic_nan_nan_1_utt00487,open
icty_karadzic_nan_nan_1_utt00488,open
icty_karadzic_nan_nan_1_utt00489,open
icty_karadzic_nan_nan_1_utt00490,open
icty_karadzic_nan_nan_1_utt00491,open
icty_karadzic_nan_nan_1_utt00492,open
icty_karadzic_nan_nan_1_utt00493,open
icty_karadzic_nan_nan_1_utt00494,open
icty_karadzic_nan_nan_1_utt00495,open
icty_karadzic_nan_nan_1_utt00496,open
icty_karadzic_nan_nan_1_utt00497,open
icty_karadzic_nan_nan_1_utt00498,open
icty_karadzic_nan_nan_1_utt00499,open
icty_karadzic_nan_nan_1_utt00500,open
icty_karadzic_nan_nan_1_utt00501,open
icty_karadzic_nan_nan_1_utt00502,open
icty_karadzic_nan_nan_1_utt00503,open
icty_karadzic_nan_nan_1_utt00504,open
icty_karadzic_nan_nan_1_utt00505,open
icty_karadzic_nan_nan_1_utt00506,open
icty_karadzic_nan_nan_1_utt00507,open
icty_karadzic_nan_nan_1_utt00508,open
icty_karadzic_nan_nan_1_utt00509,open
icty_karadzic_nan_nan_1_utt00510,open
icty_karadzic_nan_nan_1_utt00511,open
icty_karadzic_nan_nan_1_utt00512,open
icty_karadzic_nan_nan_1_utt00513,open
icty_karadzic_nan_nan_1_utt00514,open
icty_karadzic_nan_nan_1_utt00515,open
icty_karadzic_nan_nan_1_utt00516,open
icty_karadzic_nan_nan_1_utt00517,open
icty_karadzic_nan_nan_1_utt00518,open
icty_karadzic_nan_nan_1_utt00519,open
icty_karadzic_nan_nan_1_utt00520,open
icty_karadzic_nan_nan_1_utt00521,open
icty_karadzic_nan_nan_1_utt00522,open
icty_karadzic_nan_nan_1_utt00523,open
icty_karadzic_nan_nan_1_utt00524,open
icty_karadzic_nan_nan_1_utt00525,open
icty_karadzic_nan_nan_1_utt00526,open
icty_karadzic_nan_nan_1_utt00527,open
icty_karadzic_nan_nan_1_utt00528,open
icty_karadzic_nan_nan_1_utt00529,open
icty_karadzic_nan_nan_1_utt00530,open
icty_karadzic_nan_nan_1_utt00531,open
icty_karadzic_nan_nan_1_utt00532,open
icty_karadzic_nan_nan_1_utt00533,open
icty_karadzic_nan_nan_1_utt00534,open
icty_karadzic_nan_nan_1_utt00535,open
icty_karadzic_nan_nan_1_utt00536,open
icty_karadzic_nan_nan_1_utt00537,open
icty_karadzic_nan_nan_1_utt00538,open
icty_karadzic_nan_nan_1_utt00539,open
icty_karadzic_nan_nan_1_utt00540,open
icty_karadzic_nan_nan_1_utt00541,open
icty_karadzic_nan_nan_1_utt00542,open
icty_karadzic_nan_nan_1_utt00543,open
icty_karadzic_nan_nan_1_utt00544,open
icty_karadzic_nan_nan_1_utt00545,open
icty_karadzic_nan_nan_1_utt00546,open
icty_karadzic_nan_nan_1_utt00547,open
icty_karadzic_nan_nan_1_utt00548,open
icty_karadzic_nan_nan_1_utt00549,open
icty_karadzic_nan_nan_1_utt00550,open
icty_karadzic_nan_nan_1_utt00551,open
icty_karadzic_nan_nan_1_utt00552,open
icty_karadzic_nan_nan_1_utt00553,open
icty_karadzic_nan_nan_1_utt00554,open
icty_karadzic_nan_nan_1_utt00555,open
icty_karadzic_nan_nan_1_utt00556,open
icty_karadzic_nan_nan_1_utt00557,open
icty_karadzic_nan_nan_1_utt00558,open
icty_karadzic_nan_nan_1_utt00559,open
icty_karadzic_nan_nan_1_utt00560,open
icty_karadzic_nan_nan_1_utt00561,open
icty_karadzic_nan_nan_1_utt00562,open
icty_karadzic_nan_nan_1_utt00563,open
icty_karadzic_nan_nan_1_utt00564,open
icty_karadzic_nan_nan_1_utt00565,open
icty_karadzic_nan_nan_1_utt00566,open
icty_karadzic_nan_nan_1_utt00567,open
icty_karadzic_nan_nan_1_utt00568,open
icty_karadzic_nan_nan_1_utt00569,open
icty_karadzic_nan_nan_1_utt00570,open
icty_karadzic_nan_nan_1_utt00571,open
icty_karadzic_nan_nan_1_utt00572,open
icty_karadzic_nan_nan_1_utt00573,open
icty_karadzic_nan_nan_1_utt00574,open
icty_karadzic_nan_nan_1_utt00575,open
icty_karadzic_nan_nan_1_utt00576,open
icty_karadzic_nan_nan_1_utt00577,open
icty_karadzic_nan_nan_1_utt00578,open
icty_karadzic_nan_nan_1_utt00579,open
icty_karadzic_nan_nan_1_utt00580,open
icty_karadzic_nan_nan_1_utt00581,open
icty_karadzic_nan_nan_1_utt00582,open
icty_karadzic_nan_nan_1_utt00583,open
icty_karadzic_nan_nan_1_utt00584,open
icty_karadzic_nan_nan_1_utt00585,open
icty_karadzic_nan_nan_1_utt00586,open
icty_karadzic_nan_nan_1_utt00587,open
icty_karadzic_nan_nan_1_utt00588,open
icty_karadzic_nan_nan_1_utt00589,open
icty_karadzic_nan_nan_1_utt00590,open
icty_karadzic_nan_nan_1_utt00591,open
icty_karadzic_nan_nan_1_utt00592,open
icty_karadzic_nan_nan_1_utt00593,open
icty_karadzic_nan_nan_1_utt00594,open
icty_karadzic_nan_nan_1_utt00595,open
icty_karadzic_nan_nan_1_utt00596,open
icty_karadzic_nan_nan_1_utt00597,open
icty_karadzic_nan_nan_1_utt00598,open
icty_karadzic_nan_nan_1_utt00599,open
icty_karadzic_nan_nan_1_utt00600,open
icty_karadzic_nan_nan_1_utt00601,open
icty_karadzic_nan_nan_1_utt00602,open
icty_karadzic_nan_nan_1_utt00603,open
icty_karadzic_nan_nan_1_utt00604,open
icty_karadzic_nan_nan_1_utt00605,open
icty_karadzic_nan_nan_1_utt00606,open
icty_karadzic_nan_nan_1_utt00607,open
